monthly_invocations,serverless_monthly_cost,instance_monthly_cost,monthly_percent_savings
500000,2.220423110734414,40.32,94.49
1000000,4.440846221468828,40.32,88.99
1500000,6.661269332203241,40.32,83.48
2000000,8.881692442937656,40.32,77.97
2500000,11.102115553672068,40.32,72.46
3000000,13.322538664406482,40.32,66.96
3500000,15.542961775140895,40.32,61.45
4000000,17.76338488587531,40.32,55.94
4500000,19.983807996609723,40.32,50.44
5000000,22.204231107344135,40.32,44.93
5500000,24.42465421807855,40.32,39.42
6000000,26.645077328812963,40.32,33.92
6500000,28.86550043954738,40.32,28.41
7000000,31.08592355028179,40.32,22.9
7500000,33.30634666101621,40.32,17.39
8000000,35.52676977175062,40.32,11.89
8500000,37.74719288248503,40.32,6.38
9000000,39.96761599321945,40.32,0.87
